iter	Passed	Remaining
1062	74259	1257
1063	74338	1187
1064	74432	1118
1065	74506	1048
1066	74571	978
1067	74628	908
1068	74690	838
1069	74748	768
1070	74816	698
1071	74872	628
1072	74941	558
1073	75003	488
1074	75062	418
1075	75127	349
1076	75543	280
1077	75697	210
1078	75766	140
1079	75824	70
1080	75875	0
